trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.948}",20,0,-27.076253647460728,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8979999999999999}",25,0,-242.72349446479325,"{0: 12, 1: 3, 2: 4, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8479999999999999}",25,17,-4.916170269491293,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7979999999999998}",25,0,-102.81648938355384,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7479999999999998}",25,0,-191.040939960572,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6979999999999997}",20,0,-78.01770874543377,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6479999999999997}",20,0,-15.83540058104465,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5979999999999996}",30,0,-114.0951960791949,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5479999999999996}",30,0,-176.119728942818,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4979999999999996}",20,0,20.248385619214638,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4479999999999996}",20,0,-68.45860956330976,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39799999999999963}",25,12,-27.49281012135028,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34799999999999964}",25,0,-70.27815455598648,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29799999999999965}",20,6,-32.24536405113687,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24799999999999967}",20,0,7.575909385652205,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19799999999999968}",25,12,-8.729281772943557,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1479999999999997}",20,11,-7.662142553616598,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09799999999999968}",20,0,-38.533083696228395,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.04799999999999968}",30,16,15.899823658269591,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -0.002000000000000321}",20,9,17.573319868479178,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,23,-28.69980148152444,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,6,21.917825560599063,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,13,30.141730613456183,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,16,9.844439582096069,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,21,-7.684886964469879,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,18,-15.936804568186155,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,0,-23.769137962950726,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,7,17.07212027555397,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,1,27.815631256078515,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,6,-0.5456847302860068,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
