trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.87, 'e': 1.0}",20,0,-160.38663764440963,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.84, 'e': 0.951229424500714}",20,0,-48.841232094211094,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.8099999999999999, 'e': 0.9048374180359595}",25,0,-123.35561197838668,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.7799999999999999, 'e': 0.8607079764250578}",20,0,-67.31527920475187,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
5,False,"{'a': 0.7499999999999999, 'e': 0.8187307530779818}",20,0,-74.96200093019529,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.7199999999999999, 'e': 0.7788007830714049}",25,0,-106.95297929590191,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.6899999999999998, 'e': 0.7408182206817179}",35,0,-126.9612326096001,"{0: 26, 1: 2, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.6599999999999998, 'e': 0.7046880897187134}",20,0,-179.62654450162165,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.6299999999999998, 'e': 0.6703200460356393}",20,0,-34.8908963171249,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5999999999999998, 'e': 0.6376281516217733}",25,1,-63.710084663019074,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 1}",1
11,False,"{'a': 0.5699999999999997, 'e': 0.6065306597126334}",20,0,-98.38297273112154,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5399999999999997, 'e': 0.5769498103804866}",20,10,-6.033989794931462,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5099999999999997, 'e': 0.5488116360940264}",30,12,-86.1563151324431,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 1}",1
14,False,"{'a': 0.47999999999999965, 'e': 0.522045776761016}",25,3,-11.214015767981609,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.4499999999999996, 'e': 0.49658530379140947}",25,0,-91.02798748441936,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
16,False,"{'a': 0.4199999999999996, 'e': 0.4723665527410147}",25,5,-26.235235984707284,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
17,False,"{'a': 0.38999999999999957, 'e': 0.44932896411722156}",35,14,-77.29588959806233,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 2}",1
18,False,"{'a': 0.35999999999999954, 'e': 0.42741493194872665}",20,0,-58.72275692393,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.3299999999999995, 'e': 0.4065696597405991}",25,0,20.578429559252395,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.2999999999999995, 'e': 0.3867410234545012}",20,1,22.25172149425362,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.26999999999999946, 'e': 0.36787944117144233}",20,10,0.5148345259824438,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.23999999999999946, 'e': 0.3499377491111553}",25,15,3.7241541790997434,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.20999999999999946, 'e': 0.33287108369807955}",25,11,13.565625661256568,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.17999999999999947, 'e': 0.31663676937905316}",20,0,-45.32300770214854,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.17999999999999947, 'e': 0.301194211912202}",20,2,-51.197619314044694,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
26,False,"{'a': 0.17999999999999947, 'e': 0.2865047968601901}",20,8,14.631924667308276,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.17999999999999947, 'e': 0.2725317930340126}",35,5,-15.00547351521729,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",1
28,False,"{'a': 0.17999999999999947, 'e': 0.2592402606458915}",20,0,-15.52148831533488,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
29,False,"{'a': 0.17999999999999947, 'e': 0.24659696394160643}",30,18,19.196844998079836,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.17999999999999947, 'e': 0.23457028809379762}",25,0,-54.720501462526926,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
31,False,"{'a': 0.17999999999999947, 'e': 0.22313016014842982}",25,16,18.230775410930676,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.17999999999999947, 'e': 0.21224797382674304}",30,0,-24.476400089878158,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",0
33,False,"{'a': 0.17999999999999947, 'e': 0.20189651799465538}",35,23,-39.91376678956966,"{0: 8, 1: 1, 2: 1, 3: 2, 4: 0}",1
34,False,"{'a': 0.17999999999999947, 'e': 0.19204990862075408}",20,0,1.7626815778029556,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
