trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.948}",30,0,-182.3348217967933,"{0: 14, 1: 4, 2: 8, 3: 3, 4: 1}",0
2,False,"{'a': 0.25, 'e': 0.8979999999999999}",20,0,-26.869358071254208,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
3,False,"{'a': 0.25, 'e': 0.8479999999999999}",20,0,-90.15323570958374,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.25, 'e': 0.7979999999999998}",20,0,-57.96727195240453,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
5,False,"{'a': 0.25, 'e': 0.7479999999999998}",20,0,-225.79091641846964,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
6,False,"{'a': 0.25, 'e': 0.6979999999999997}",20,0,-132.9112791144201,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
7,False,"{'a': 0.25, 'e': 0.6479999999999997}",30,0,-111.25629920329604,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.25, 'e': 0.5979999999999996}",20,0,-98.33313929386662,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.25, 'e': 0.5479999999999996}",20,0,-99.11098090898571,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.25, 'e': 0.4979999999999996}",25,0,-223.2354739341139,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
11,False,"{'a': 0.25, 'e': 0.4479999999999996}",20,0,-114.11797267200542,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.25, 'e': 0.39799999999999963}",25,0,-70.4563355263039,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
13,False,"{'a': 0.25, 'e': 0.34799999999999964}",25,8,-98.71381843012654,"{0: 8, 1: 2, 2: 6, 3: 0, 4: 1}",1
14,False,"{'a': 0.25, 'e': 0.29799999999999965}",25,0,-78.12646075962817,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.25, 'e': 0.24799999999999967}",20,0,-59.47262437673332,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.25, 'e': 0.19799999999999968}",25,4,-144.69801520942693,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 3}",1
17,False,"{'a': 0.25, 'e': 0.1479999999999997}",25,0,-112.64973629489654,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.25, 'e': 0.09799999999999968}",20,0,-121.18244743786163,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.25, 'e': 0.04799999999999968}",20,0,-30.416307873154874,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.25, 'e': -0.002000000000000321}",20,0,-95.20663315835307,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,12,-101.11707446108186,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",25,0,-136.44204881636773,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-56.79275415000002,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-202.86666708942758,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,0,-109.97963434050544,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-60.82821605678575,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-47.62223690117957,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-89.2562047392493,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,9,-26.18252849807384,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,8,-140.62057938632034,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 3}",1
